productID,productName,unitsInStock,reorderLevel
2,Chang,17,25
3,"Aniseed Syrup",13,25
11,"Queso Cabrales",22,30
21,"Sir Rodney's Scones",3,5
30,"Nord-Ost Matjeshering",10,15
31,"Gorgonzola Telino",0,20
32,"Mascarpone Fabioli",9,25
37,"Gravad lax",11,25
43,"Ipoh Coffee",17,25
45,"Rogede sild",5,15
48,Chocolade,15,25
49,Maxilaku,10,15
56,"Gnocchi di nonna Alice",21,30
64,"Wimmers gute Semmelkn̦del",22,30
66,"Louisiana Hot Spiced Okra",4,20
68,"Scottish Longbreads",6,15
70,"Outback Lager",15,30
74,"Longlife Tofu",4,5
